ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
011.13,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
011.16,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
011.20,55.0,19.0,6.0,6.0,4.0,6.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,
011.22,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
011.23,71.0,62.0,2.0,1.0,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,1.0,,,,
011.24,39.0,26.0,2.0,5.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
011.25,6.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
011.26,26.0,15.0,1.0,2.0,2.0,,2.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,
011.30,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
011.33,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
011.35,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
011.36,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
011.40,3.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
011.43,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
011.44,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
011.45,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
011.46,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
011.50,12.0,4.0,2.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,
011.52,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
011.53,6.0,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,
011.54,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
011.55,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
011.56,3.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
011.60,14.0,6.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
011.61,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
011.62,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
011.63,35.0,24.0,6.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
011.64,9.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
011.65,4.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
011.66,8.0,5.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
011.70,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
011.73,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
011.74,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
