ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24 
715.38,353.0,12.0,3.0,14.0,13.0,22.0,19.0,28.0,17.0,23.0,28.0,21.0,31.0,20.0,18.0,15.0,16.0,14.0,6.0,8.0,7.0,4.0,5.0,5.0,2.0,2.0
715.80,1193.0,9.0,9.0,21.0,29.0,48.0,64.0,92.0,82.0,83.0,88.0,91.0,91.0,80.0,54.0,70.0,57.0,40.0,36.0,42.0,24.0,25.0,16.0,27.0,10.0,5.0
715.89,4170.0,540.0,25.0,48.0,92.0,149.0,185.0,210.0,229.0,201.0,242.0,231.0,204.0,224.0,204.0,195.0,189.0,143.0,133.0,147.0,129.0,105.0,105.0,97.0,88.0,55.0
715.90,85448.0,57.0,433.0,1677.0,3289.0,4763.0,5901.0,6589.0,6627.0,6757.0,6616.0,6127.0,5726.0,5123.0,4425.0,3785.0,3361.0,2880.0,2456.0,2044.0,1699.0,1459.0,1174.0,1030.0,798.0,652.0
715.91,1923.0,446.0,18.0,50.0,69.0,74.0,88.0,91.0,93.0,85.0,87.0,78.0,84.0,99.0,81.0,82.0,63.0,63.0,46.0,42.0,44.0,35.0,30.0,30.0,22.0,23.0
715.92,95.0,1.0,,2.0,5.0,4.0,8.0,5.0,6.0,3.0,8.0,8.0,4.0,6.0,4.0,5.0,4.0,5.0,6.0,1.0,2.0,2.0,3.0,,2.0,1.0
715.93,181.0,4.0,2.0,4.0,9.0,7.0,7.0,12.0,13.0,12.0,13.0,17.0,7.0,7.0,14.0,9.0,9.0,7.0,6.0,5.0,1.0,3.0,6.0,2.0,2.0,3.0
715.94,1194.0,4.0,12.0,30.0,43.0,67.0,72.0,65.0,75.0,89.0,70.0,69.0,77.0,76.0,66.0,62.0,45.0,39.0,43.0,34.0,32.0,35.0,21.0,28.0,19.0,21.0
715.95,5754.0,2839.0,73.0,151.0,154.0,184.0,187.0,183.0,214.0,200.0,176.0,139.0,180.0,147.0,128.0,118.0,112.0,103.0,102.0,78.0,58.0,62.0,52.0,39.0,44.0,31.0
715.96,12308.0,4904.0,121.0,252.0,344.0,400.0,430.0,488.0,519.0,517.0,508.0,470.0,450.0,398.0,393.0,344.0,294.0,285.0,224.0,224.0,171.0,164.0,121.0,123.0,89.0,75.0
715.97,906.0,75.0,6.0,26.0,37.0,40.0,45.0,66.0,57.0,54.0,78.0,49.0,54.0,50.0,46.0,28.0,35.0,39.0,25.0,21.0,16.0,16.0,18.0,7.0,10.0,8.0
715.98,889.0,6.0,15.0,28.0,43.0,61.0,85.0,85.0,89.0,71.0,62.0,65.0,46.0,37.0,45.0,22.0,28.0,24.0,13.0,15.0,13.0,8.0,9.0,10.0,6.0,3.0
716.00,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
716.06,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
716.10,30.0,2.0,6.0,2.0,2.0,,1.0,3.0,2.0,1.0,,,4.0,,1.0,,3.0,,,1.0,,,,1.0,,1.0
716.11,106.0,64.0,10.0,10.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,,,2.0,,1.0,,1.0,,,,1.0,,,,
716.12,19.0,9.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,1.0,,,,,
716.13,13.0,1.0,3.0,2.0,,2.0,,,,2.0,2.0,,,1.0,,,,,,,,,,,,
716.14,11.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,
716.15,252.0,141.0,25.0,26.0,13.0,15.0,7.0,4.0,5.0,2.0,1.0,,4.0,3.0,,2.0,2.0,1.0,,,,,,1.0,,
716.16,522.0,320.0,80.0,25.0,29.0,11.0,10.0,12.0,5.0,6.0,2.0,1.0,5.0,1.0,6.0,2.0,2.0,,,,3.0,1.0,,1.0,,
716.17,251.0,146.0,23.0,24.0,11.0,9.0,2.0,6.0,3.0,6.0,3.0,4.0,1.0,2.0,,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,,,1.0
716.18,12.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,1.0
716.19,8.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,
716.20,4.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
716.26,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
716.27,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
716.28,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
716.30,3.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,
716.35,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
716.36,7.0,4.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
716.39,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
716.41,4.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,
716.43,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
716.44,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
716.45,3.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,
716.46,8.0,1.0,,,1.0,2.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,
716.47,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
716.49,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
716.50,794.0,12.0,3.0,11.0,31.0,47.0,54.0,66.0,62.0,54.0,58.0,62.0,49.0,51.0,36.0,36.0,37.0,20.0,26.0,20.0,12.0,9.0,12.0,9.0,7.0,10.0
716.51,8.0,4.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
716.52,3.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,
716.53,8.0,,1.0,,1.0,,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,
716.54,9.0,1.0,,,,,2.0,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,
716.55,10.0,1.0,,4.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,
716.56,46.0,15.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,,2.0,,
716.57,15.0,3.0,2.0,1.0,1.0,,1.0,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,
716.58,40.0,,,1.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,
716.59,235.0,26.0,3.0,14.0,12.0,18.0,9.0,15.0,13.0,16.0,8.0,11.0,16.0,9.0,13.0,3.0,10.0,8.0,6.0,3.0,5.0,4.0,7.0,4.0,2.0,
716.60,15.0,,,,,,1.0,2.0,1.0,1.0,,,2.0,,,,2.0,3.0,,,,,1.0,2.0,,
716.61,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
716.62,4.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
716.63,10.0,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,
716.64,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
716.65,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
716.66,38.0,9.0,,4.0,1.0,4.0,1.0,3.0,2.0,,2.0,,1.0,1.0,,,3.0,1.0,1.0,,2.0,1.0,,,1.0,1.0
716.67,13.0,,,1.0,2.0,1.0,2.0,,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,1.0
716.80,102.0,,1.0,9.0,10.0,10.0,12.0,6.0,8.0,7.0,6.0,10.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,
716.81,81.0,42.0,2.0,3.0,4.0,6.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,,3.0,,,,,1.0,,,,2.0
716.82,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
716.83,5.0,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,1.0,,
716.84,17.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0
716.85,30.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,1.0,,,,
716.86,84.0,17.0,1.0,6.0,1.0,4.0,7.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,1.0,1.0,2.0,4.0,,2.0,,,1.0
716.87,13.0,1.0,,1.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,2.0,
716.88,24.0,,,,3.0,3.0,2.0,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,1.0,,
716.89,81.0,3.0,1.0,3.0,3.0,7.0,18.0,6.0,6.0,4.0,7.0,6.0,4.0,5.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,,1.0
716.90,28858.0,14.0,357.0,986.0,1745.0,2279.0,2572.0,2562.0,2474.0,2297.0,2115.0,1850.0,1664.0,1387.0,1214.0,1020.0,923.0,764.0,588.0,489.0,405.0,327.0,271.0,209.0,191.0,155.0
716.91,1741.0,369.0,45.0,77.0,82.0,68.0,94.0,84.0,71.0,86.0,83.0,72.0,69.0,80.0,68.0,62.0,63.0,43.0,39.0,39.0,27.0,27.0,25.0,28.0,17.0,23.0
716.92,121.0,5.0,1.0,4.0,10.0,12.0,5.0,3.0,8.0,7.0,7.0,6.0,9.0,5.0,4.0,3.0,4.0,7.0,5.0,4.0,2.0,5.0,,2.0,2.0,1.0
716.93,197.0,11.0,2.0,8.0,6.0,11.0,11.0,12.0,13.0,8.0,8.0,14.0,9.0,13.0,6.0,10.0,8.0,6.0,6.0,10.0,5.0,4.0,6.0,6.0,2.0,2.0
716.94,986.0,10.0,10.0,39.0,55.0,50.0,66.0,69.0,57.0,66.0,64.0,72.0,51.0,56.0,40.0,42.0,40.0,36.0,31.0,29.0,20.0,18.0,26.0,13.0,11.0,15.0
716.95,1325.0,223.0,35.0,43.0,82.0,74.0,71.0,85.0,60.0,64.0,68.0,77.0,61.0,58.0,40.0,47.0,35.0,42.0,29.0,27.0,21.0,16.0,22.0,22.0,12.0,11.0
716.96,2998.0,415.0,39.0,111.0,123.0,199.0,186.0,209.0,217.0,201.0,171.0,173.0,153.0,128.0,103.0,94.0,82.0,77.0,67.0,51.0,58.0,39.0,28.0,28.0,24.0,22.0
716.97,636.0,97.0,16.0,23.0,37.0,45.0,40.0,37.0,21.0,33.0,29.0,31.0,34.0,27.0,23.0,25.0,21.0,14.0,8.0,13.0,12.0,15.0,9.0,12.0,8.0,6.0
716.98,820.0,5.0,19.0,44.0,69.0,74.0,70.0,85.0,59.0,54.0,55.0,58.0,38.0,28.0,31.0,25.0,17.0,22.0,15.0,12.0,12.0,6.0,7.0,4.0,7.0,4.0
716.99,803.0,7.0,15.0,28.0,45.0,75.0,75.0,85.0,62.0,72.0,47.0,44.0,53.0,27.0,25.0,20.0,23.0,22.0,12.0,15.0,15.0,11.0,6.0,9.0,5.0,5.0
717.0,15.0,1.0,4.0,2.0,1.0,,3.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,
717.1,11.0,1.0,2.0,4.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
717.2,87.0,15.0,14.0,10.0,7.0,7.0,1.0,6.0,3.0,6.0,3.0,2.0,3.0,2.0,3.0,,1.0,,1.0,,2.0,,1.0,,,
717.3,274.0,12.0,17.0,46.0,34.0,23.0,18.0,14.0,14.0,14.0,7.0,17.0,11.0,8.0,6.0,6.0,2.0,5.0,4.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0
717.40,169.0,13.0,17.0,29.0,14.0,15.0,9.0,11.0,10.0,7.0,5.0,8.0,7.0,2.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,
717.41,7.0,,4.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
717.42,25.0,7.0,4.0,2.0,1.0,3.0,3.0,,,,,2.0,1.0,,,,1.0,,,,,,,,1.0,
717.43,52.0,6.0,6.0,9.0,5.0,5.0,8.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,
717.49,29.0,3.0,9.0,3.0,3.0,1.0,2.0,,,1.0,1.0,2.0,,,,2.0,,2.0,,,,,,,,
717.5,211.0,6.0,17.0,15.0,22.0,10.0,15.0,18.0,18.0,12.0,9.0,16.0,9.0,11.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,6.0,3.0,,
717.6,265.0,8.0,38.0,43.0,45.0,34.0,24.0,13.0,8.0,13.0,6.0,3.0,2.0,3.0,9.0,4.0,2.0,2.0,,1.0,2.0,,1.0,2.0,,2.0
717.7,797.0,31.0,100.0,139.0,107.0,68.0,63.0,52.0,38.0,36.0,23.0,28.0,16.0,18.0,16.0,8.0,14.0,8.0,3.0,5.0,6.0,2.0,2.0,5.0,4.0,5.0
717.81,22.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,
717.82,32.0,1.0,2.0,5.0,5.0,4.0,4.0,3.0,,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,
717.83,203.0,55.0,21.0,22.0,10.0,16.0,14.0,12.0,11.0,9.0,4.0,9.0,6.0,5.0,1.0,2.0,2.0,,,,1.0,3.0,,,,
717.84,35.0,2.0,6.0,6.0,5.0,4.0,3.0,2.0,,1.0,,2.0,1.0,,1.0,,,1.0,,,,,1.0,,,
717.85,27.0,8.0,2.0,4.0,3.0,,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,
717.89,58.0,10.0,5.0,9.0,4.0,7.0,5.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,,
717.9,214.0,21.0,15.0,28.0,30.0,13.0,17.0,10.0,13.0,9.0,5.0,8.0,6.0,5.0,4.0,6.0,5.0,2.0,10.0,2.0,2.0,2.0,1.0,,,
718.00,5.0,,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
718.01,26.0,3.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,
718.02,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
718.03,4.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,
718.04,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
718.05,83.0,28.0,23.0,11.0,10.0,6.0,1.0,,,,2.0,,,,1.0,,,,,,,1.0,,,,
718.07,8.0,2.0,1.0,2.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,
718.08,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
718.09,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
718.10,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
718.11,65.0,,11.0,15.0,6.0,7.0,5.0,3.0,7.0,1.0,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,,,1.0,,,,
718.12,27.0,,2.0,3.0,4.0,5.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,,1.0,,1.0,2.0,,,1.0,,,
718.13,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
718.14,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
718.15,73.0,,6.0,13.0,17.0,5.0,6.0,2.0,7.0,1.0,3.0,4.0,,1.0,4.0,1.0,,2.0,1.0,,,,,,,
718.17,50.0,,8.0,11.0,8.0,6.0,5.0,3.0,,3.0,1.0,,,1.0,,2.0,1.0,,,,,,,1.0,,
718.18,5.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
718.21,9.0,,,,1.0,1.0,3.0,1.0,,,,,,,,2.0,,,,1.0,,,,,,
718.22,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
718.23,3.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,
718.24,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
718.25,33.0,15.0,3.0,2.0,1.0,,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,,,,,,,,,,
718.26,16.0,1.0,2.0,4.0,,3.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,1.0,,,,
718.27,17.0,1.0,,,,3.0,2.0,1.0,2.0,1.0,1.0,,3.0,1.0,1.0,,,1.0,,,,,,,,
718.28,4.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,
718.30,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
718.31,474.0,108.0,21.0,26.0,27.0,24.0,19.0,22.0,19.0,22.0,15.0,26.0,23.0,20.0,17.0,17.0,16.0,15.0,4.0,7.0,4.0,2.0,10.0,5.0,3.0,2.0
718.32,34.0,11.0,1.0,2.0,4.0,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,
718.33,10.0,2.0,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,
718.34,9.0,2.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,
718.35,224.0,58.0,11.0,16.0,11.0,10.0,7.0,9.0,8.0,9.0,6.0,7.0,12.0,9.0,13.0,3.0,11.0,3.0,9.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0
718.36,265.0,68.0,23.0,41.0,36.0,19.0,16.0,11.0,9.0,8.0,7.0,6.0,2.0,3.0,5.0,3.0,4.0,,,1.0,,,2.0,,,1.0
718.37,82.0,9.0,7.0,4.0,2.0,8.0,4.0,7.0,3.0,5.0,4.0,5.0,6.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,,1.0,,,1.0,1.0
718.38,7.0,1.0,,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,
718.40,467.0,2.0,,1.0,5.0,13.0,15.0,17.0,25.0,27.0,37.0,25.0,31.0,30.0,35.0,33.0,16.0,30.0,25.0,20.0,19.0,12.0,14.0,15.0,13.0,7.0
718.41,107.0,8.0,14.0,13.0,15.0,10.0,6.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,,3.0,1.0,1.0,,2.0,2.0,,
718.42,281.0,39.0,13.0,11.0,8.0,15.0,11.0,13.0,11.0,11.0,18.0,11.0,13.0,11.0,10.0,10.0,12.0,10.0,10.0,7.0,14.0,6.0,8.0,5.0,3.0,1.0
718.43,120.0,12.0,5.0,5.0,3.0,,4.0,5.0,3.0,13.0,6.0,9.0,12.0,8.0,3.0,8.0,5.0,3.0,1.0,4.0,3.0,3.0,4.0,,1.0,
718.44,474.0,15.0,12.0,14.0,12.0,13.0,22.0,24.0,28.0,20.0,22.0,30.0,33.0,35.0,24.0,32.0,21.0,18.0,17.0,20.0,14.0,10.0,7.0,15.0,9.0,7.0
718.45,406.0,23.0,39.0,44.0,35.0,28.0,26.0,24.0,17.0,18.0,16.0,17.0,19.0,11.0,11.0,11.0,9.0,10.0,6.0,7.0,6.0,7.0,4.0,7.0,5.0,6.0
718.46,1828.0,65.0,151.0,262.0,167.0,145.0,140.0,101.0,107.0,77.0,79.0,56.0,69.0,68.0,41.0,52.0,41.0,37.0,30.0,27.0,27.0,18.0,17.0,20.0,21.0,10.0
718.47,363.0,15.0,14.0,15.0,21.0,19.0,18.0,19.0,21.0,18.0,24.0,17.0,9.0,17.0,19.0,16.0,19.0,13.0,13.0,10.0,13.0,9.0,10.0,7.0,3.0,4.0
718.48,480.0,,,5.0,10.0,9.0,13.0,18.0,26.0,27.0,30.0,28.0,28.0,35.0,34.0,27.0,31.0,19.0,38.0,18.0,16.0,17.0,18.0,14.0,12.0,7.0
718.49,1432.0,14.0,2.0,11.0,22.0,25.0,39.0,54.0,65.0,82.0,71.0,82.0,67.0,79.0,108.0,104.0,85.0,83.0,100.0,71.0,66.0,58.0,54.0,48.0,20.0,22.0
718.50,37.0,,1.0,,2.0,2.0,4.0,3.0,3.0,1.0,2.0,,3.0,1.0,3.0,2.0,3.0,2.0,,2.0,2.0,,1.0,,,
718.51,24.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,,,1.0,,2.0,,,2.0,,,,1.0,,,,,,
718.52,25.0,6.0,1.0,2.0,6.0,3.0,2.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,
718.53,3.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
718.54,3.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
718.55,85.0,6.0,7.0,16.0,13.0,7.0,2.0,6.0,2.0,5.0,,3.0,3.0,4.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,,
718.56,349.0,102.0,27.0,55.0,46.0,20.0,23.0,11.0,9.0,8.0,14.0,4.0,3.0,8.0,3.0,5.0,2.0,,1.0,3.0,1.0,2.0,1.0,1.0,,
718.57,28.0,,1.0,2.0,1.0,3.0,3.0,2.0,4.0,,1.0,2.0,4.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,
718.58,6.0,,,,1.0,1.0,,1.0,,1.0,,,,2.0,,,,,,,,,,,,
718.59,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
718.65,109.0,7.0,15.0,14.0,14.0,14.0,12.0,7.0,5.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,,2.0,1.0,,,,,,1.0
718.71,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
718.75,73.0,47.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,,,2.0,2.0,3.0,,,,,1.0,,,,1.0,,
718.76,4.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
718.77,4.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,
718.78,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
718.80,11.0,,,3.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,2.0,,,,,,,1.0,,
718.81,95.0,34.0,14.0,13.0,5.0,1.0,2.0,2.0,3.0,5.0,4.0,,1.0,2.0,2.0,1.0,,2.0,1.0,,1.0,1.0,,,1.0,
718.82,16.0,6.0,1.0,4.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,
718.83,8.0,2.0,,1.0,3.0,,,,,,,1.0,,,,,1.0,,,,,,,,,
718.84,11.0,2.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,
718.85,54.0,9.0,6.0,10.0,4.0,9.0,3.0,2.0,1.0,1.0,,1.0,,3.0,1.0,2.0,,,,,,,1.0,,1.0,
718.86,216.0,52.0,19.0,26.0,22.0,13.0,16.0,15.0,6.0,6.0,4.0,7.0,6.0,4.0,3.0,3.0,,2.0,2.0,2.0,1.0,4.0,2.0,1.0,,
718.87,91.0,17.0,10.0,12.0,11.0,9.0,6.0,4.0,1.0,3.0,,,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,,,
718.88,100.0,12.0,9.0,15.0,10.0,7.0,6.0,9.0,8.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,,1.0,2.0,1.0,,,,,
718.89,4.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,
718.90,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
718.91,134.0,12.0,7.0,21.0,11.0,9.0,11.0,6.0,5.0,4.0,9.0,7.0,6.0,3.0,2.0,4.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,,2.0,
718.92,21.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,,1.0,2.0,,,,,1.0,,,1.0,,,,,,
718.93,13.0,1.0,2.0,2.0,,,,2.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0
718.94,19.0,6.0,2.0,,2.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,,2.0,,1.0,,,,,
718.95,144.0,39.0,13.0,21.0,18.0,10.0,7.0,4.0,5.0,8.0,1.0,5.0,3.0,1.0,,1.0,,3.0,1.0,2.0,1.0,1.0,,,,
718.97,108.0,14.0,8.0,9.0,8.0,6.0,5.0,5.0,9.0,9.0,6.0,8.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,,1.0,,1.0,1.0,
718.98,15.0,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,
719.00,131.0,,6.0,11.0,11.0,8.0,7.0,16.0,9.0,8.0,5.0,6.0,1.0,7.0,8.0,3.0,7.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,
719.01,123.0,9.0,5.0,9.0,7.0,11.0,7.0,10.0,8.0,3.0,4.0,7.0,5.0,3.0,5.0,5.0,4.0,5.0,,7.0,2.0,4.0,1.0,,1.0,1.0
719.02,167.0,7.0,11.0,7.0,13.0,12.0,10.0,19.0,6.0,10.0,7.0,11.0,4.0,5.0,10.0,6.0,4.0,3.0,8.0,2.0,3.0,3.0,,2.0,1.0,3.0
719.03,76.0,2.0,3.0,4.0,6.0,7.0,6.0,3.0,3.0,3.0,6.0,4.0,6.0,2.0,2.0,3.0,,4.0,,2.0,3.0,1.0,2.0,1.0,1.0,2.0
719.04,25.0,,2.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,
719.05,324.0,39.0,36.0,39.0,24.0,16.0,10.0,15.0,17.0,12.0,13.0,13.0,19.0,7.0,9.0,10.0,10.0,12.0,3.0,5.0,4.0,1.0,6.0,1.0,3.0,
719.06,3361.0,198.0,147.0,271.0,244.0,257.0,210.0,224.0,233.0,204.0,187.0,177.0,154.0,125.0,103.0,102.0,91.0,80.0,70.0,56.0,49.0,42.0,45.0,42.0,29.0,21.0
719.07,392.0,11.0,12.0,24.0,30.0,17.0,24.0,24.0,23.0,26.0,24.0,24.0,19.0,14.0,19.0,20.0,12.0,7.0,16.0,14.0,5.0,8.0,7.0,5.0,3.0,4.0
719.08,31.0,5.0,,3.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,
719.09,27.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,
719.10,33.0,,8.0,5.0,6.0,4.0,3.0,2.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,
719.11,55.0,21.0,9.0,2.0,9.0,2.0,1.0,3.0,1.0,3.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,
719.12,28.0,9.0,8.0,3.0,4.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
719.13,6.0,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
719.14,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
719.15,25.0,7.0,4.0,3.0,3.0,3.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,
719.16,361.0,62.0,86.0,49.0,37.0,34.0,31.0,17.0,15.0,13.0,5.0,,4.0,3.0,2.0,1.0,,,,,,,,,2.0,
